,Keyword,Start,End
0,ZHEJIANG,0,38
1,YOUTUBE,38,72
2,YALE_UNIVERSITY,72,118
3,XBOX_360,118,144
4,WOOD,144,213
5,WINDOWS_8,213,261
6,WESTMINSTER_ABBEY,261,307
7,WAR_ON_TERROR,307,338
8,VIRGIL,338,361
9,VIDEOCONFERENCING,361,382
10,VALENCIA,382,433
11,VACUUM,433,464
12,USB,464,529
13,URANIUM,529,570
14,UNIVERSITY_OF_NOTRE_DAME,570,625
15,UNIVERSITY_OF_KANSAS,625,661
16,UNIVERSITY,661,688
17,UNIVERSAL_STUDIOS,688,730
18,"UNITED_STATES_PRESIDENTIAL_ELECTION,_2004",730,756
19,UNITED_STATES_ARMY,756,790
20,UNITED_STATES_AIR_FORCE,790,847
21,UNITED_NATIONS_POPULATION_FUND,847,869
22,UNICODE,869,902
23,UMAYYAD_CALIPHATE,902,937
24,TUVALU,937,998
25,TURNER_CLASSIC_MOVIES,998,1021
26,"TUCSON,_ARIZONA",1021,1073
27,TRISTAN_DA_CUNHA,1073,1102
28,TREATY,1102,1159
29,TRANSLATION,1159,1188
30,TO_KILL_A_MOCKINGBIRD,1188,1248
31,TIME,1248,1277
32,THURINGIA,1277,1306
33,THEME,1306,1307
34,THE_SUN_(UNITED_KINGDOM),1307,1356
35,THE_LEGEND_OF_ZELDA:_TWILIGHT_PRINCESS,1356,1388
36,THE_BRONX,1388,1445
37,THE_BLITZ,1445,1536
38,TEXTUAL_CRITICISM,1536,1568
39,TENNESSEE,1568,1618
40,TAJIKISTAN,1618,1652
41,SZLACHTA,1652,1713
42,SYMBIOSIS,1713,1736
43,SWITZERLAND,1736,1813
44,SWAZILAND,1813,1840
45,SUPREME_COURT,1840,1863
46,SUPER_NINTENDO_ENTERTAINMENT_SYSTEM,1863,1887
47,SUMER,1887,1919
48,STRASBOURG,1919,1953
49,STEVEN_SPIELBERG,1953,2002
50,STATES_OF_GERMANY,2002,2026
51,"ST._JOHN%27S,_NEWFOUNDLAND_AND_LABRADOR",2026,2057
52,SPECTRE_(2015_FILM),2057,2100
53,SPANISH_LANGUAGE_IN_THE_UNITED_STATES,2100,2123
54,SPACE_RACE,2123,2179
55,SOUTHERN_EUROPE,2179,2204
56,SOUTHEAST_ASIA,2204,2230
57,SONY_MUSIC_ENTERTAINMENT,2230,2265
58,SOMERSET,2265,2302
59,SOMALIS,2302,2372
60,SOLAR_ENERGY,2372,2423
61,SOFTWARE_TESTING,2423,2452
62,SLAVS,2452,2501
63,SINO-TIBETAN_RELATIONS_DURING_THE_MING_DYNASTY,2501,2573
64,SICHUAN,2573,2599
65,SEXUAL_ORIENTATION,2599,2651
66,SEVEN_YEARS%27_WAR,2651,2711
67,SERBO-CROATIAN,2711,2733
68,SEPARATION_OF_POWERS_UNDER_THE_UNITED_STATES_CONSTITUTION,2733,2762
69,SEPARATION_OF_CHURCH_AND_STATE_IN_THE_UNITED_STATES,2762,2803
70,SEATTLE,2803,2855
71,"SANTA_MONICA,_CALIFORNIA",2855,2877
72,SAN_DIEGO,2877,2926
73,SAMURAI,2926,2976
74,SAMOA,2976,3001
75,SAINT_HELENA,3001,3083
76,SAINT_BARTH%C3%A9LEMY,3083,3107
77,SAHARA,3107,3132
78,RUSSIAN_SOVIET_FEDERATIVE_SOCIALIST_REPUBLIC,3132,3166
79,RUSSIAN_LANGUAGE,3166,3197
80,RULE_OF_LAW,3197,3221
81,ROYAL_INSTITUTE_OF_BRITISH_ARCHITECTS,3221,3248
82,ROYAL_DUTCH_SHELL,3248,3273
83,ROYAL_ASSENT,3273,3311
84,ROMAN_REPUBLIC,3311,3393
85,REPUBLIC_OF_THE_CONGO,3393,3432
86,RENEWABLE_ENERGY_COMMERCIALIZATION,3432,3472
87,RELIGION_IN_ANCIENT_ROME,3472,3553
88,RED,3553,3601
89,"RALEIGH,_NORTH_CAROLINA",3601,3635
90,RAJASTHAN,3635,3659
91,RAILWAY_ELECTRIFICATION_SYSTEM,3659,3693
92,RACE_AND_ETHNICITY_IN_THE_UNITED_STATES_CENSUS,3693,3705
93,RACE_(HUMAN_CATEGORIZATION),3705,3770
94,QURAN,3770,3813
95,QUEEN_VICTORIA,3813,3855
96,QUEEN_(BAND),3855,3914
97,QING_DYNASTY,3914,3994
98,"PUNJAB,_PAKISTAN",3994,4020
99,PROFESSIONAL_WRESTLING,4020,4081
100,PRINTED_CIRCUIT_BOARD,4081,4116
101,PRIME_MINISTER,4116,4152
102,PRESBYTERIANISM,4152,4190
103,PREMIER_LEAGUE,4190,4230
104,PREDATION,4230,4256
105,PORTUGAL,4256,4353
106,POPE_PAUL_VI,4353,4408
107,POPE_JOHN_XXIII,4408,4433
108,POLITICAL_PHILOSOPHY,4433,4454
109,POLITICAL_CORRUPTION,4454,4506
110,POLICE,4506,4542
111,PLYMOUTH,4542,4622
112,PLAYSTATION_3,4622,4666
113,PITCH_(MUSIC),4666,4676
114,PHONOLOGY,4676,4699
115,PHILOSOPHY_OF_SPACE_AND_TIME,4699,4723
116,PHILADELPHIA,4723,4782
117,PHARMACEUTICAL_INDUSTRY,4782,4826
118,PESTICIDE,4826,4852
119,PARTY_LEADERS_OF_THE_UNITED_STATES_HOUSE_OF_REPRESENTATIVES,4852,4883
120,PARIS,4883,4976
121,PALERMO,4976,5000
122,PAIN,5000,5033
123,PACIFIC_WAR,5033,5103
124,OTTOMAN_EMPIRE,5103,5171
125,ORTHODOX_JUDAISM,5171,5196
126,OLD_ENGLISH,5196,5219
127,OKLAHOMA_CITY,5219,5288
128,NORTHWESTERN_UNIVERSITY,5288,5332
129,NORFOLK_ISLAND,5332,5362
130,NONPROFIT_ORGANIZATION,5362,5386
131,NINTENDO_ENTERTAINMENT_SYSTEM,5386,5430
132,NIGERIA,5430,5485
133,NEW_YORK_CITY,5485,5630
134,"NEW_HAVEN,_CONNECTICUT",5630,5696
135,NEW_DELHI,5696,5747
136,NEOLITHIC,5747,5770
137,NEOCLASSICAL_ARCHITECTURE,5770,5792
138,NEAR_EAST,5792,5851
139,NATIONAL_ARCHIVES_AND_RECORDS_ADMINISTRATION,5851,5879
140,NAPOLEON,5879,5968
141,NAMIBIA,5968,6006
142,MYOCARDIAL_INFARCTION,6006,6032
143,MYANMAR,6032,6105
144,MULTIRACIAL_AMERICAN,6105,6149
145,MP3,6149,6209
146,MOSAIC,6209,6273
147,MONTANA,6273,6316
148,MOLOTOV%E2%80%93RIBBENTROP_PACT,6316,6360
149,MODERN_HISTORY,6360,6448
150,MINISTRY_OF_DEFENCE_(UNITED_KINGDOM),6448,6473
151,MILITARY_HISTORY_OF_THE_UNITED_STATES,6473,6515
152,MIDDLE_AGES,6515,6608
153,MIAMI,6608,6653
154,MEXICO_CITY,6653,6740
155,MESOZOIC,6740,6756
156,MEMORY,6756,6788
157,MELBOURNE,6788,6852
158,MATTER,6852,6881
159,MARSHALL_ISLANDS,6881,6932
160,MANDOLIN,6932,6975
161,MAMMAL,6975,6999
162,MALI,6999,7021
163,MADRASA,7021,7055
164,MADONNA_(ENTERTAINER),7055,7131
165,MACINTOSH,7131,7180
166,LONDON,7180,7257
167,LITERATURE,7257,7280
168,LIST_OF_NUMBERED_STREETS_IN_MANHATTAN,7280,7330
169,LIGHTING,7330,7380
170,LIGHT-EMITTING_DIODE,7380,7423
171,LIBERIA,7423,7446
172,LIBERAL_PARTY_OF_AUSTRALIA,7446,7472
173,LETTER_CASE,7472,7484
174,LAW_OF_THE_UNITED_STATES,7484,7511
175,LATE_MIDDLE_AGES,7511,7551
176,LASERDISC,7551,7599
177,LANCASHIRE,7599,7619
178,LABOUR_PARTY_(UK),7619,7660
179,KOREAN_WAR,7660,7735
180,KATHMANDU,7735,7793
181,KANYE_WEST,7793,7871
182,JOSIP_BROZ_TITO,7871,7938
183,"JOHN,_KING_OF_ENGLAND",7938,8012
184,JOHN_VON_NEUMANN,8012,8073
185,JOHN_KERRY,8073,8125
186,JEWS,8125,8161
187,JEHOVAH%27S_WITNESSES,8161,8207
188,ISRAEL,8207,8305
189,IRANIAN_LANGUAGES,8305,8325
190,IRAN,8325,8385
191,INTERNET_SERVICE_PROVIDER,8385,8406
192,INTELLECTUAL_PROPERTY,8406,8427
193,INSTITUTE_OF_TECHNOLOGY,8427,8489
194,INSECT,8489,8549
195,INFRARED,8549,8569
196,INFECTION,8569,8599
197,INDIGENOUS_PEOPLES_OF_THE_AMERICAS,8599,8655
198,INCANDESCENT_LIGHT_BULB,8655,8697
199,IMPERIAL_COLLEGE_LONDON,8697,8722
200,IDENTITY_(SOCIAL_SCIENCE),8722,8743
201,IDEALISM,8743,8772
202,IBM,8772,8798
203,HYDROGEN,8798,8853
204,HYDERABAD,8853,8906
205,HUNTING,8906,8942
206,HUNTER-GATHERER,8942,8976
207,HUMANISM,8976,9006
208,HOUSTON,9006,9054
209,HOUSE_MUSIC,9054,9098
210,HOKKIEN,9098,9119
211,HISTORY_OF_SCIENCE,9119,9186
212,HISTORY_OF_INDIA,9186,9264
213,HINDU_PHILOSOPHY,9264,9289
214,HIMACHAL_PRADESH,9289,9312
215,HIGH-DEFINITION_TELEVISION,9312,9358
216,HELLENISTIC_PERIOD,9358,9452
217,HANOVER,9452,9473
